y_train;y_train_pred;y_test;y_test_pred
5.15;10.85365854;;-45.609375
451.62;8.317073171;;24.265625
6.35;27.61904762;;-4.734375
18.14285714;9.804878049;;27.265625
16.57142857;9.048780488;;26.265625
0.72;5.317073171;;7.390625
13.55;2.682926829;;-45.609375
16.95;6.634146341;;-7.734375
8.228346457;10.73170732;;-45.609375
4.414634146;2.204724409;;7.265625
5.275590551;0.71;;-119.765625
6.048780488;28.14285714;;-3.734375
5.866141732;0.65;;59.234375
6.85;20.07874016;;1.390625
7.365853659;7.634146341;;-4.734375
4.05511811;0.87275;;-14.4375
14.4;0.91125;;58.1875
17.45;7.80952381;;-34.609375
11.07317073;15.24390244;;-42.609375
6.87804878;8.619047619;;-34.609375
71.79;0.59;;11.296875
4.212598425;9.56097561;;26.265625
593.18;4.219512195;;-42.609375
6.377952756;0.53;;51.421875
8.307086614;77.0;;160.15625
14950.0;0.029411765;;-1181.59375
14.07317073;7.365853659;;-7.734375
6.338582677;12.19512195;;-45.609375
9.921259843;0.89525;;-51.4375
36.85;16.23809524;;-8.734375
16.45669291;8.317073171;;24.265625
3.585365854;5.9;;4.890625
7.283464567;4.960629921;;-20.734375
34.61904762;9.95;;4.890625
8.464566929;4.609756098;;-40.609375
4.682926829;0.98;;-326025291898091.6
5.487804878;0.95425;;5.1875
17.85714286;11.47619048;;1.265625
4.731707317;11.85;;57.890625
6.614173228;1708.33;;743.515625
4.488188976;6.634146341;;-7.734375
9.05;7.677165354;;-17.734375
33.15;11.18110236;;56.390625
24.47619048;8.780487805;;-47.609375
5.196850394;6.771653543;;3.390625
6.585365854;6.609756098;;54.265625
2.926829268;408.44;;743.515625
24.9047619;1244.13;;741.515625
4.842519685;16.77165354;;56.390625
7.487804878;6.102362205;;-1.609375
4.68503937;1.01;;127.4375
0.97025;88.3;;1020.65625
11.8503937;23.38095238;;-34.734375
5.866141732;15.85365854;;-42.609375
6.535433071;5.393700787;;-19.734375
14.21259843;4.804878049;;52.265625
9.292682927;13.55;;60.890625
8.170731707;4.804878049;;50.265625
12.9047619;23.38095238;;-34.734375
19.95238095;10.05;;9.890625
11.0;13.57142857;;1.265625
15.14285714;6.6;;4.890625
4.05511811;15.0;;-42.609375
6.535433071;6.731707317;;54.265625
4.842519685;7.5;;4.890625
6.87804878;7.795275591;;-14.734375
16.95121951;4.527559055;;11.265625
3.779527559;8.170731707;;-47.609375
1.09;11.85;;57.890625
20.8;1.008;;-412.1875
5.926829268;8.682926829;;-47.609375
22.33333333;9.714285714;;-1.734375
10.9047619;10.05;;9.890625
12.42857143;0.69;;417.53125
9.024390244;0.35;;-57.203125
10.04761905;17.0;;2.265625
15.42857143;4.173228346;;-11.734375
12.73170732;6.048780488;;34.265625
3.243902439;9.448818898;;-3.609375
2.204724409;30.71428571;;-36.734375
16.52380952;13.42857143;;-30.609375
2.975609756;28.35;;7.890625
89.44;12.29268293;;13.390625
29.8;6.25984252;;-8.734375
9.3;16.25984252;;56.390625
5.0;16.1;;62.890625
42.25352113;7.857142857;;-36.609375
17.04761905;4.731707317;;7.390625
6.341463415;17.45;;2.890625
5.196850394;2.362204724;;6.265625
9.330708661;5.43902439;;30.265625
1.05;11.47619048;;1.265625
8.85;1039.43662;;-815.875
10.61904762;6.6;;6.890625
4.365853659;5.590551181;;-52.734375
6.268292683;0.64;;415.421875
10.0;0.8;;-45.078125
0.72;0.99;;254.859375
16.70731707;14.7804878;;-42.609375
1443.6;0.24;;1603.09375
8.582677165;5.731707317;;7.390625
543.48;19.95238095;;1.265625
6.25984252;23.38095238;;-34.734375
11.07317073;5.866141732;;-49.734375
11.29268293;7.292682927;;24.265625
5.05;8.9;;9.890625
13.15;1703.030303;;3567.140625
17.9;7.283464567;;51.390625
0.995774648;6.463414634;;54.265625
6.062992126;7.476190476;;-36.609375
12.42857143;14.92125984;;56.390625
6.417322835;593.67;;743.515625
19.83;4.414634146;;50.265625
31.9047619;7.165354331;;-9.734375
9.048780488;15.09756098;;28.265625
1.38;5.196850394;;-8.734375
6.653543307;11.33858268;;56.390625
0.39;27.04761905;;-4.734375
26.45;5.196850394;;-9.734375
47.02;8.048780488;;23.265625
7.073170732;7.170731707;;34.265625
17.0;5.157480315;;-12.734375
15.51181102;12.3;;57.890625
5.472440945;13.55;;60.890625
14.07317073;11.95121951;;-45.609375
15.7480315;8.19047619;;10.390625
5.853658537;12.7;;60.890625
9.212598425;0.7175;;-1.4375
0.66;0.31;;-236.203125
16.95;8.228346457;;3.390625
6.929133858;7.952755906;;-15.734375
0.89075;11.07317073;;-3.734375
5.31496063;29.23809524;;-4.734375
17.8;8.56097561;;24.265625
13.0952381;10.04878049;;27.265625
7.952755906;4.6;;4.890625
22.71428571;29.35;;7.890625
5.669291339;329.38;;743.515625
5.472440945;7.598425197;;52.390625
16.19047619;8.619047619;;-34.609375
10.31707317;4.37007874;;11.265625
7.283464567;4.731707317;;-40.609375
11.33858268;31.38095238;;-4.734375
8.385826772;7.559055118;;3.390625
11.65354331;5.536585366;;24.265625
11.61417323;3.818897638;;-11.734375
3.937007874;4.527559055;;11.265625
13.68292683;4.414634146;;50.265625
75.6;6.102362205;;-17.734375
10.07317073;6.220472441;;-47.734375
4.842519685;1.051408451;;-1229.25
6.102362205;14.95238095;;-39.734375
9.170731707;9.634146341;;34.265625
6.829268293;10.95238095;;17.265625
17.33333333;9.921259843;;-3.609375
27.61904762;4.842519685;;10.265625
6.170731707;2.637795276;;7.265625
21.2992126;10.7;;-8.359375
17.52380952;7.804878049;;-47.609375
12.3;9.80952381;;-1.734375
27.04761905;0.97925;;-47.4375
9.048780488;1.13;;-85.203125
14.95238095;23.14285714;;-34.734375
17.42857143;9.960629921;;-3.609375
22.28571429;4.414634146;;50.265625
0.4;5.219512195;;54.265625
17.0;5.536585366;;23.265625
6.536585366;7.634146341;;-4.734375
6.102362205;0.85425;;4.5625
18.14285714;0.911;;5.1875
9.56097561;39.6;;324.53125
0.8305;11.76190476;;1.265625
5.748031496;7.666666667;;-34.609375
44.3;10.63414634;;34.265625
6.25984252;6.062992126;;-48.734375
15.12195122;16.23809524;;-8.734375
97.0;9.952380952;;-1.734375
4.921259843;20.25;;4.890625
6.692913386;2060.0;;7322.65625
2.414634146;17.45;;2.890625
13.95238095;2.975609756;;-45.609375
4.268292683;4.173228346;;-51.734375
7.666666667;6.811023622;;-47.734375
14.15;18.95238095;;-4.734375
18.95238095;8.902439024;;-47.609375
0.9355;1.03;;482.625
4.536585366;4.173228346;;-11.734375
7.634146341;13.61904762;;-39.734375
2.975609756;5.170731707;;7.390625
23.95238095;6.341463415;;-40.609375
13.19047619;11.0;;57.890625
4.87804878;1122.16;;741.515625
13.15;5.354330709;;-8.734375
4.341463415;16.05;;2.890625
0.95;5.365853659;;54.265625
15.71428571;2.047244094;;6.265625
7.857142857;203.82;;741.515625
7.165354331;17.33333333;;-3.734375
4.804878049;6.614173228;;52.390625
5.0;6.496062992;;3.390625
10.04761905;8.073170732;;23.265625
7.756097561;6.048780488;;33.265625
133.83;9.56097561;;27.265625
0.99;9.268292683;;13.390625
19.7;4.68503937;;8.265625
11.05;4.212598425;;11.265625
8.070866142;13.04761905;;-31.609375
5.472440945;0.58;;104.109375
7.85;0.39;;761.65625
2.637795276;7.519685039;;-51.734375
9.317073171;14.14285714;;-40.734375
8.365853659;13.61904762;;-40.734375
1.55;14.80487805;;13.390625
5.097560976;0.94;;-244.015625
8.238095238;0.89425;;-15.4375
7.761904762;17.42857143;;-38.734375
6.338582677;8.12195122;;-7.734375
4.68503937;6.951219512;;-47.609375
0.11;0.35;;-389.84375
21.76190476;9.780487805;;13.390625
16.8;4.05511811;;-11.734375
6.57480315;76.79;;-360.78125
6.102362205;5.866141732;;-1.609375
4.527559055;15.7;;62.890625
7.390243902;7.390243902;;32.265625
9.212598425;6.771653543;;51.390625
6.929133858;5.0;;-8.734375
94.2;13.0;;9.890625
4.803149606;181.6901408;;32.0625
0.99475;6.731707317;;54.265625
29.4;8.149606299;;51.390625
1120.37;1.87;;-619.25
16.2195122;8.761904762;;-2.734375
5.243902439;9.80952381;;-1.734375
13.61904762;14.4;;60.890625
92.2;6.811023622;;-18.734375
29.8;14.6;;2.890625
20.75;12.87401575;;54.390625
58.14;5.219512195;;50.265625
12.80952381;0.97925;;-15.4375
4.409448819;79.1;;204.0
17.33333333;5.472440945;;-1.609375
6.390243902;7.598425197;;-47.734375
9.212598425;0.9955;;-28.4375
0.98375;8.56097561;;26.265625
18.14285714;19.76190476;;-5.734375
12.7;12.66666667;;15.390625
0.531764706;12.76190476;;-39.734375
17.66666667;5.275590551;;0.890625
13.07086614;8.951219512;;34.265625
8.976377953;14.0952381;;1.265625
8.464566929;12.83464567;;-2.109375
10.0;0.0;;93.796875
6.220472441;8.228346457;;-16.734375
12.36220472;4.527559055;;11.265625
15.09756098;5.707317073;;32.265625
14.65;19.0;;3.265625
4.682926829;7.795275591;;52.390625
7.952755906;5.275590551;;-49.734375
7.857142857;24.76190476;;-35.734375
5.354330709;10.51181102;;51.390625
13.03149606;15.09756098;;27.265625
0.8;757.94;;741.515625
0.95;18.66141732;;1.390625
0.8775;9.921259843;;-1.609375
4.645669291;1.052;;-1229.25
7.598425197;13.55;;60.890625
6.048780488;0.81175;;-17.4375
13.31707317;12.3;;62.890625
4.960629921;0.99275;;-45.4375
1.057;2.853658537;;-45.609375
7.952380952;0.918333333;;1088.796875
9.048780488;4.212598425;;11.265625
5.275590551;0.74;;236.921875
13.0;5.393700787;;-19.734375
2.362204724;6.87804878;;-7.734375
4.291338583;8.292682927;;24.265625
6.609756098;7.195121951;;-47.609375
9.55;17.52380952;;3.265625
7.365853659;8.829268293;;34.265625
9.35;5.511811024;;-12.734375
6.811023622;5.585365854;;30.265625
18.95238095;362.29;;743.515625
22.85714286;17.8;;3.890625
11.95238095;4.731707317;;-40.609375
6.88976378;2.87804878;;-45.609375
10.62992126;26.38095238;;-35.734375
7.125984252;6.4;;5.890625
6.707317073;4.724409449;;54.390625
14.36585366;9.80952381;;-1.734375
4.173228346;13.55;;57.890625
13.76190476;2.731707317;;-45.609375
16.85714286;6.102362205;;3.390625
16.05;4.536585366;;50.265625
