y_test;y_test_pred;y_test_pred_proba
1;1;0.43860059650442346
1;0;0.6329200554717381
0;1;0.4353556581255322
1;0;0.6320585837012457
1;0;0.6331710387955969
0;1;0.5
0;1;0.4842155248551257
0;0;0.6269391834319439
1;1;0.43862672300858924
0;0;0.6253368871480505
0;0;0.6489888512973326
0;1;0.4347142249656916
1;0;0.7084741601853511
1;1;0.35991543571045265
0;0;0.6251895251688461
0;0;0.5288743564049393
0;1;0.36867868402962517
0;1;0.2509646410216989
1;1;0.4382910789697365
1;1;0.2512682354397035
0;0;0.6927017104315878
1;0;0.632934365047924
0;1;0.484702267783184
0;0;0.7583473519612177
0;0;0.6437670546043575
0;0;0.7324587691074907
0;0;0.625848207435482
1;1;0.43858742981894566
0;1;0.45914901379422124
1;1;0.44097065102860705
1;0;0.6328420558176657
0;1;0.33650487067029533
0;0;0.5395483854646326
1;1;0.3358443877824729
0;1;0.4843157352837144
1;1;0.4054394160604592
1;1;0.31187874058806414
1;1;0.42235152930409064
1;1;0.3549885114099815
0;1;0.2984096032993955
0;0;0.6261015270089443
0;0;0.536669877367792
1;1;0.42470428683135675
1;1;0.4378404424639089
0;1;0.4047021277477441
0;0;0.714694858260144
1;1;0.2998473981009895
0;1;0.3011505886379616
1;1;0.42414542283523843
0;1;0.4052032290786122
1;0;0.670459239304877
1;0;0.6431270133149355
1;1;0.42419498682352785
1;1;0.4383480863157382
0;0;0.5383545902199025
0;0;0.7170815745627004
1;1;0.3551507006184732
0;0;0.7176154684820123
1;1;0.4252450824411114
1;1;0.33531617070409125
1;1;0.423946440907858
0;1;0.3364659343346973
1;1;0.4383054346246261
0;0;0.7142374796614941
0;1;0.33654851771818156
0;0;0.5347007094776505
0;0;0.6214702571013889
1;1;0.437828434786954
1;1;0.3554451818119276
1;0;0.6840481090101621
1;1;0.4378760545228959
1;1;0.42438031380139796
1;1;0.3348080555151087
1;0;0.558281019849843
1;0;0.5511891464333671
1;1;0.4201459242448336
0;0;0.5242885225336217
0;0;0.6218738010263897
1;1;0.3603489211423488
0;1;0.42642262070073306
1;1;0.2495100056212268
0;1;0.29809840155832984
1;1;0.5
0;0;0.5204604663892565
1;1;0.42417885862619986
1;1;0.3546582743483694
0;1;0.2521302076054672
0;1;0.5
1;1;0.2984445210919852
0;0;0.6263887158783544
0;0;0.623718675982028
1;1;0.4222183091227181
1;0;0.7627426410277827
0;1;0.33597044601211923
0;0;0.5309360461705015
1;0;0.6338539553575849
0;0;0.7283325822611192
1;0;0.6478409919961111
1;1;0.43827665407756494
1;0;0.8520119673498163
0;1;0.5
1;1;0.42121606468724254
1;1;0.4243264224694779
0;0;0.5288043945881277
0;0;0.6331534337411332
1;1;0.3348544839992004
0;0;0.6887749173381418
0;1;0.42484597196322815
0;0;0.7151495479662484
0;1;0.2521904299237577
1;1;0.4241119168653447
1;1;0.2984750477651265
0;0;0.7172672164340552
