y_test;y_test_pred;y_test_pred_proba
1;1;0.44321366951443
1;0;0.6472018378544535
0;1;0.43977857166301554
1;0;0.6463143450872018
1;0;0.6474603739991771
0;1;0.511083447182524
0;1;0.49151843193708866
0;0;0.6410371392653873
1;1;0.44324132831358215
0;0;0.6393843031199864
0;0;0.6637304694526098
0;1;0.43909958575387553
1;0;0.7256187932485589
1;1;0.35996984625460976
0;0;0.6392322648288996
0;0;0.5387230645170606
0;1;0.3692412623155353
0;1;0.245242314898853
1;1;0.44288600054795535
1;1;0.24555866204980356
0;0;0.7094944744555893
1;0;0.6472165783883504
0;1;0.49203377517168817
0;0;0.7760898989434399
0;0;0.658364247154178
0;0;0.7499941931859604
0;0;0.6399118124175823
1;1;0.4431997306225559
0;1;0.46497231206707235
1;1;0.44572280373132767
1;0;0.6471214883799411
0;1;0.3350398136726315
0;0;0.5499669646683608
1;1;0.3343424630467232
0;1;0.4916245313522895
1;1;0.4081232310797002
1;1;0.3090730761756294
1;1;0.4260155064359502
1;1;0.3545723966436053
0;1;0.2949044348568949
0;0;0.6401731311928748
0;0;0.5469367906310519
1;1;0.42850520380698337
1;1;0.44240894169217054
0;1;0.40734335064655786
0;0;0.7319581008825128
1;1;0.29641562168760877
0;1;0.2977856060472382
1;1;0.4279137972599851
0;1;0.40787339892492325
1;0;0.6903262335136267
1;0;0.6577061903056214
1;1;0.42796624698437635
1;1;0.44294635084296
0;0;0.5487104581863528
0;0;0.7343871876767615
1;1;0.35474392512161207
0;0;0.734930318376949
1;1;0.4290774985028088
1;1;0.3337847942872553
1;1;0.4277032308356374
0;1;0.3349987026668084
1;1;0.4429011980193218
0;0;0.7314924023330655
0;1;0.33508589868161515
0;0;0.5448629882186979
0;0;0.6353933695607356
1;1;0.4423962300440529
1;1;0.3550553687885798
1;0;0.7006180257387291
1;1;0.4424466415950829
1;1;0.4281623647808901
1;1;0.3332483761482674
1;0;0.5696454055381411
1;0;0.5622043213712503
1;1;0.4236816688693597
0;0;0.533886507586189
0;0;0.6358100438334523
1;1;0.36042851746580795
0;1;0.43032365309125087
1;1;0.24372686499491994
0;1;0.29457738979412534
1;1;0.5115107994773578
0;0;0.5298467292247521
1;1;0.4279491797563157
1;1;0.3542231503551195
0;1;0.24645695474129095
0;1;0.5112024924217641
1;1;0.29494113125377047
0;0;0.6404693718460753
0;0;0.6377144772709197
1;1;0.42587453704636596
1;0;0.780496457956566
0;1;0.3344755542289742
0;0;0.540896373256206
1;0;0.6481637775907974
0;0;0.7458138224784779
1;0;0.662551241869664
1;1;0.4428707297851658
1;0;0.8681993825797196
0;1;0.5111558761377287
1;1;0.42481400966392935
1;1;0.4281053354783116
0;0;0.5386493027121688
0;0;0.6474422395702832
1;1;0.3332973896435077
0;0;0.7054690992253023
0;1;0.4286551406814424
0;0;0.7324209979552997
0;1;0.2465197208299079
1;1;0.42787834053121326
1;1;0.29497321301552437
0;0;0.7345760513362501
0;0;0.5317773735805114
1;0;0.6450878634737688
0;0;0.5306212541847055
1;1;0.4281249787348905
0;1;0.43991420108769846
0;0;0.531905409259033
1;0;0.6483941525369631
0;0;0.6357145452709738
0;0;0.5347801018000896
1;1;0.3547047887784361
1;1;0.3545622693902993
1;1;0.4431857187128843
1;1;0.3001312645683447
1;1;0.35451671601650253
0;0;0.5837654032769671
1;0;0.5215242927187077
1;1;0.40718486804909176
0;0;0.5452186255239856
1;0;0.6376396098987566
0;1;0.4393713476217807
1;0;0.6476816715156893
1;0;0.6463969065872002
0;1;0.3346227680393092
0;1;0.2942970824826555
1;1;0.2952482450271318
0;1;0.42897758211993253
1;1;0.24549540522622612
0;0;0.6362677199382704
0;1;0.49166842557598245
0;1;0.4392354945630935
0;1;0.4071450680386657
0;0;0.6475221579524433
0;0;0.5333790067506213
0;0;0.6355186042230018
0;0;0.7355459981988927
0;0;0.5472876502909684
0;0;0.5347662801527528
0;0;0.7314061063440271
1;1;0.4341121491579458
1;0;0.6338177609877793
1;0;0.5376117649658438
1;1;0.360241801329295
0;0;0.6366408035292921
0;0;0.639505304348385
0;0;0.5528138606475789
0;1;0.44245906327628737
1;1;0.4280227433525037
1;0;0.6152984763948905
0;0;0.6550441345144187
1;1;0.4286611698910967
1;1;0.36005272837574553
0;0;0.734398249198463
0;0;0.7328421778890444
0;0;0.6479994062330828
0;0;0.638785033864233
0;0;0.6480683853326689
0;1;0.30849094100997676
1;0;0.729233295446239
1;1;0.4270008919503145
0;1;0.24530559683368094
1;0;0.6351741092716919
0;0;0.5374288987693322
1;1;0.44426188672073874
1;1;0.42774334726261953
1;1;0.2948357526267079
1;0;0.7094916701640201
1;1;0.29547625251191595
0;1;0.4917168127199406
0;0;0.5400608255135687
0;0;0.5356345534965299
1;1;0.4426867658765514
1;1;0.4425439875919143
0;0;0.6169913932339838
0;0;0.5337597610586996
1;1;0.4334306792708401
0;1;0.5111200375230529
0;1;0.4915357530941673
1;1;0.3551859101110486
0;1;0.2975803582043023
0;0;0.530750048544487
1;1;0.2949025908096808
0;0;0.7326973922430706
0;0;0.6405893873559356
1;1;0.2977172002353497
1;1;0.4388276011361761
0;1;0.4291429214814765
0;1;0.4069851506311976
1;0;0.6483154184966283
0;0;0.6368533253141542
1;0;0.6465617053083348
1;1;0.5116633158576764
0;0;0.6386752056935386
0;0;0.6361431402823388
1;1;0.2444873583087549
1;0;0.6007506936394076
1;0;0.7255771894573035
0;0;0.5387388686930318
1;1;0.43492810254310776
1;1;0.43465633826259553
1;1;0.5116033209175221
1;0;0.6297341846160891
0;1;0.467770662840894
1;1;0.43261111625923204
1;0;0.6413797051887311
0;1;0.44249589371738857
1;0;0.7431619975983604
1;1;0.5114152403671249
0;0;0.5335060105623403
0;0;0.7433236159096571
0;1;0.4078367437228933
1;1;0.3536687500640843
0;0;0.6372294271671877
0;1;0.42843220910276664
0;0;0.5315210484361909
1;1;0.3331993131237742
1;0;0.7801464329304771
0;0;0.7321435957881091
1;1;0.428623515326561
0;0;0.552708389792501
1;1;0.42927748956385325
1;1;0.4278830708264836
1;1;0.3546532088529703
0;0;0.5483657871332963
1;1;0.29543830524355547
1;1;0.4286413359823272
0;0;0.7340413070284743
1;1;0.46718716400622734
1;1;0.510758173312972
0;1;0.4077263483382044
0;0;0.5368674777910101
1;0;0.7184951647383534
1;0;0.6477031982897188
1;1;0.4438946035147825
1;1;0.29846659914407103
1;1;0.43370343126854244
0;1;0.40760952626958386
1;0;0.6347887649687517
1;1;0.42742244666486506
1;1;0.3605395617446392
0;0;0.6990984138009902
1;0;0.5467500775366793
0;0;0.635268025784624
0;0;0.6371355653312788
1;1;0.4222618405676332
0;1;0.4291757666774934
0;0;0.5390136816497413
1;1;0.4300470982508812
1;1;0.42887444638474226
1;0;0.6459239372804769
1;1;0.2971695927097023
1;1;0.3599359557061433
1;1;0.4073537078975709
0;0;0.7294351836377074
1;1;0.35447110691063366
0;1;0.46747397074175007
1;1;0.35394694862943255
1;0;0.6155431421238328
0;1;0.4914249862683508
0;0;0.7610312066739092
0;0;0.6358936533698039
0;0;0.5879614615764843
0;0;0.5488251596361299
0;0;0.6406064915433752
1;0;0.6472820795351775
0;1;0.44250802572546283
1;1;0.42268829961485055
1;0;0.6343046279400364
0;0;0.5349053378529951
0;0;0.6378066455598779
1;1;0.2962784151940627
1;1;0.2950336327006538
0;1;0.49188295059440523
0;1;0.491462610148551
0;1;0.4301854020648062
0;1;0.3345233647351688
0;1;0.4287429893053021
1;1;0.42830193505250697
1;1;0.3544395010234028
0;1;0.49166369000806626
0;1;0.4068240855780903
0;0;0.7353706462422376
1;1;0.44317163376834595
0;0;0.539377253113414
1;0;0.5192249025629974
1;1;0.29540031549639706
1;1;0.43191338939244556
0;0;0.7344872059993697
0;0;0.6484727789960193
1;0;0.5339010257975632
0;0;0.5351555495192681
1;1;0.42890547983663546
0;1;0.49227621119006965
1;1;0.245685156430932
1;1;0.42826428169109043
0;0;0.6400304275545606
1;1;0.4286073030627557
1;1;0.2975119220925414
1;1;0.36039756170162374
1;1;0.42836784826875013
1;1;0.4427775651962674
0;0;0.6400861335003891
0;1;0.33513193292118687
1;1;0.295591849612797
0;1;0.3344276935173443
1;1;0.4424177250489429
1;1;0.4339759646233685
0;0;0.7839364873248788
1;1;0.3549697381693903
1;1;0.3536221898514513
1;0;0.5455734302315162
0;0;0.7339361262279861
0;1;0.40811182430167914
0;0;0.7329339554583398
0;1;0.4079464944387355
0;1;0.33480917196995597
0;0;0.6389642526836071
0;0;0.5340131681950354
1;1;0.3539931210543833
1;1;0.29555201954425514
1;0;0.6379122501110689
0;0;0.7312116377568881
0;1;0.2973065540132114
0;0;0.6351425729101617
1;1;0.29476685472823494
0;0;0.5470538373353242
1;1;0.4285918159709727
1;0;0.7620707038696894
1;1;0.5117074275886087
0;0;0.5322321297975922
1;1;0.40662114068432814
0;0;0.6571304439209616
1;1;0.3597312283044957
0;0;0.6382658533478689
0;1;0.4288433389553224
0;1;0.44072679801416914
1;1;0.4287809021514996
0;0;0.7334822713620326
0;0;0.6369732091440362
1;1;0.42283035561290844
0;1;0.4917552245775901
0;0;0.5361287804982525
0;0;0.5299760256868616
1;1;0.33344413267057427
0;1;0.29449751144966413
1;1;0.4299087417087207
0;0;0.5501941861272182
0;1;0.44247141251156086
0;1;0.4916278661839215
1;1;0.4441623763505578
0;0;0.5504210266942512
0;1;0.5120474419847844
0;0;0.6383074292048843
1;0;0.5386733455101962
1;1;0.360273084305379
0;0;0.5384059357535468
0;0;0.5486826499788615
1;1;0.4282989218415951
1;0;0.6468080928870816
1;1;0.5119416991786512
1;1;0.2441705786690237
1;1;0.4245312198139439
1;1;0.35496806037937984
1;1;0.44386222335155984
0;0;0.5329974820093037
0;0;0.5476376676807505
0;0;0.5304923759354007
0;0;0.6399990272454136
1;1;0.4428244775875167
0;0;0.5399410989074639
0;0;0.7861637869773984
1;1;0.35408529940823225
0;1;0.5120084178949208
1;1;0.42782710665220164
1;1;0.2988431680172147
1;1;0.24582888863477637
1;1;0.44242158082122546
1;1;0.42885970338142876
1;1;0.445325078340174
1;1;0.5116484435065575
0;1;0.4923543917518699
0;0;0.640829089662699
1;1;0.4455902876923883
0;1;0.49225646056805944
0;1;0.29648421125774904
0;0;0.7439610080033637
1;1;0.3335904289183767
0;0;0.5355302147828791
0;0;0.7694054567065556
1;1;0.44519238515575277
0;1;0.4424836893190197
0;0;0.5498532112430503
1;1;0.40753117300361597
0;0;0.5955827967233581
1;1;0.3342357491528492
1;1;0.2998228226540659
0;1;0.4916465196988267
0;0;0.6356189375587661
1;1;0.42887748774783707
0;0;0.6668691682283531
1;1;0.44280891349960994
0;1;0.29572923238042687
1;0;0.5297173493681894
1;1;0.29600389429711305
0;0;0.5379181299605688
1;0;0.6374573051554985
1;1;0.511678103978185
0;1;0.3352238489949346
1;1;0.3551045547595652
1;1;0.2952479320477175
1;0;0.7086333662840336
0;0;0.5370610426991901
1;1;0.42728197882862107
0;0;0.5355107771499839
0;0;0.7271316022635538
0;1;0.44059150594140084
1;0;0.6477612667252096
0;0;0.7706201245531883
0;0;0.5479868411684331
1;0;0.6169159309682379
0;1;0.29465710034002657
1;0;0.6115819713626772
0;1;0.44252008536133064
1;1;0.29497962943909367
1;1;0.35990199925761535
0;1;0.4078041534353616
1;0;0.6447504025054406
1;1;0.42843674009092664
0;1;0.4423834458589661
1;1;0.3601160146711404
0;0;0.7555493271749484
1;1;0.3537617044813577
0;1;0.42911000206241423
0;0;0.5834260347572306
0;0;0.6387776550198623
1;1;0.3542689894906194
1;1;0.42955575561580384
0;0;0.5458095033043747
1;1;0.4389636212571865
0;1;0.40757038552032276
0;1;0.4075036235918507
1;1;0.42718394381364866
1;1;0.5115419773203755
0;0;0.6373218779051998
1;1;0.4286752946622111
1;0;0.54604520507028
1;1;0.36034125011623364
1;1;0.3608325882550927
0;0;0.5345189498801183
1;1;0.44300552950120553
0;1;0.5107581319681942
1;0;0.6369077762425532
0;0;0.5301052386717232
0;0;0.5381622113150976
1;0;0.6349816554753177
0;1;0.44311456330492704
1;1;0.4458552605924679
0;1;0.4401852916732483
0;1;0.5119952420523067
