,y_train,y_train_pred,y_train_pred_proba
630,0,0,0.5251750096088014
1075,0,1,0.3439089344807946
1462,1,1,0.5
505,0,0,0.6293068033749646
273,1,1,0.2612824335806092
1013,0,1,0.42229201796769356
362,1,1,0.42985932898469326
622,0,0,0.524266616958312
2,0,0,0.6161818477689818
6,0,0,0.6296417776931497
311,1,1,0.4240442953917884
1245,0,1,0.4106707974374051
1474,0,1,0.5
665,0,0,0.5274572885527067
364,1,1,0.4301103311030572
1544,1,1,0.44241882256747755
215,1,1,0.30844966068736207
743,0,0,0.5374678698481773
27,0,0,0.7022636896232782
1125,1,1,0.35943258295099567
950,1,0,0.6263723438468044
938,0,0,0.6225938911947572
638,0,0,0.5260785070286259
820,0,0,0.7104483888444552
718,1,0,0.5355808600416561
691,0,0,0.5295131873454325
907,0,0,0.6208336553551014
624,0,0,0.5244941721645797
932,0,0,0.6221126999651162
256,1,1,0.31030031526481033
25,0,0,0.6462062029718034
336,1,1,0.4272986483840539
572,0,0,0.621567822767432
47,0,0,0.7053843606570503
106,0,0,0.6846288760111706
349,1,1,0.4282232844664843
55,1,0,0.5503388567118374
886,1,0,0.6190109906651289
213,0,1,0.30832286221636485
120,0,0,0.7022499821596444
1033,1,1,0.34274382070982023
1118,1,1,0.3591196879489526
72,0,0,0.773224101757499
1359,1,1,0.3678358326757017
1172,1,1,0.307453576890015
787,0,0,0.7083092695339473
45,1,0,0.6504935151224895
1324,0,1,0.4293138616802564
523,0,0,0.6165888703588822
952,1,0,0.6265289580250595
1333,1,1,0.36698804261318124
1046,1,1,0.3433212434980995
869,0,0,0.6189911665273968
533,0,0,0.6177555952037442
1187,1,1,0.30799668188145723
603,0,0,0.5228736502860944
465,1,1,0.44253268486284136
893,1,0,0.6196045533390445
1336,1,1,0.3670807216294572
849,0,0,0.6180047117677049
1027,0,1,0.44750294480933805
60,0,0,0.5533049320565648
970,1,0,0.6279756658623602
92,0,0,0.7050197419912352
666,0,0,0.5275680843871019
765,0,0,0.7063214611324226
194,1,0,0.7148096273796017
280,1,1,0.2616986724154824
695,0,0,0.5299468699605044
359,1,1,0.4294824758668429
519,1,0,0.5965205448156008
1272,1,1,0.4285670067891514
839,1,0,0.6170587208866581
182,0,0,0.7044952749481834
1133,1,1,0.3589470511871475
1079,0,1,0.3440786914912014
110,1,0,0.7007880753777819
1219,0,1,0.40969229762270637
42,0,0,0.6425668317723526
746,0,0,0.537780095377502
1178,1,1,0.3076718844483747
204,0,1,0.3077518100115893
900,1,0,0.6201932643011683
52,0,0,0.7564663732782244
1175,1,1,0.307562907986161
545,0,0,0.619200094736538
68,1,0,0.545239546602755
1347,1,1,0.3674159870441018
1220,0,1,0.4097283295125986
939,0,0,0.6226737432581563
898,1,0,0.6200255563057391
183,0,0,0.6859807205026894
137,0,0,0.7022635812645591
132,1,0,0.7671088982239862
80,1,0,0.744203826634046
1268,1,1,0.42843916197190657
105,1,0,0.637630054019147
1255,0,1,0.41015497266853373
541,0,0,0.6187392897521043
809,0,0,0.709523985287543
480,1,1,0.44433324516549166
165,0,0,0.702225641703681
248,1,1,0.25973804851579857
307,1,1,0.4235314753485519
446,1,1,0.44098268957316067
1258,0,1,0.410255334330485
334,1,1,0.4270445543901385
1505,0,1,0.5
97,0,0,0.6373693707768141
1160,0,1,0.3069577861114468
1545,1,1,0.4424307409270229
737,0,0,0.5376517215849954
1223,1,1,0.4098360371769363
918,0,0,0.6217411671917132
421,1,1,0.43470999220498224
102,1,0,0.7071819172414896
434,0,1,0.43945391989494714
74,1,0,0.7853352055843882
1403,0,1,0.4861681768080612
1433,0,1,0.4858607942992314
1422,0,1,0.4865787249472717
302,1,0,0.5273736816010454
1352,1,1,0.3676283735594525
1320,0,1,0.4292006468012261
1279,1,1,0.42878815627317607
762,1,0,0.7060533953550632
733,0,0,0.5372315236440184
388,1,1,0.4313662333943571
235,1,1,0.3097154950805837
1302,0,1,0.42955285209095817
267,1,1,0.3111509431990187
305,1,1,0.42327480371808285
864,0,0,0.6185582251168887
117,1,0,0.6377829587316185
1522,1,1,0.44208085736816743
673,0,0,0.5283414571247371
249,1,1,0.259797701911839
1138,1,1,0.35916550530546376
1239,0,1,0.4104634124926777
71,1,0,0.6445570163169939
94,0,0,0.693163765437815
930,0,0,0.6219515109461334
33,0,0,0.7028757780401779
799,0,0,0.7093449016206134
1146,1,1,0.3595119605114041
448,1,1,0.4412259508622044
445,1,1,0.44086098155762415
771,0,0,0.7068548117765733
716,1,0,0.5353677674963906
1201,1,1,0.30779365534689984
1410,0,1,0.486360947863349
988,0,0,0.6285647023823545
1185,1,1,0.30792478139292795
77,1,0,0.7288945084705011
84,0,0,0.7023282113864213
916,0,0,0.6215770566112253
82,1,0,0.7209777361413098
457,1,1,0.44231806175644334
1007,0,1,0.3579011952906506
676,0,0,0.5286717215614479
1506,0,1,0.5
1120,1,1,0.3592093820148138
436,0,1,0.43969841929372333
770,0,0,0.7067661774831883
644,0,0,0.5250483706083059
862,0,0,0.6183843562366897
1209,0,1,0.40932842276754683
994,1,0,0.6290102787419298
1247,1,1,0.41073940796695974
1169,1,1,0.30734389158162884
404,1,1,0.43335180155815106
1362,1,1,0.36792385734055416
1022,0,1,0.49410143765629166
1246,0,1,0.4107051350654396
104,0,0,0.7009631836247635
609,0,0,0.5235652894415396
1373,1,1,0.36736750694406456
688,0,0,0.5291870882634159
1430,0,1,0.4858102246455651
826,1,0,0.6158881449003932
1252,0,1,0.4100540298293317
1080,0,1,0.3441210139515722
62,1,0,0.5448604687790757
281,1,1,0.2617581041759664
852,0,0,0.6182694594648813
778,0,0,0.707472368284106
1058,0,1,0.34390636133398217
238,1,1,0.30990501914504825
223,1,1,0.3089564713368672
145,0,0,0.7022457883129288
1461,1,1,0.5
373,1,1,0.429428115591493
1284,1,1,0.4289441105760436
118,0,0,0.6850119288119976
1177,1,1,0.30763559839053894
1174,1,1,0.30752650367048373
250,1,1,0.2598573489421898
1509,1,1,0.44190088128553323
1417,0,1,0.4864892826669314
978,1,0,0.6285837694807414
9,0,0,0.658006621442314
449,1,1,0.4413475040179557
967,1,0,0.6277459929385784
708,1,0,0.5345121204342941
255,1,1,0.26015548697271257
882,1,0,0.6186696341463097
593,0,0,0.5216507212998261
389,1,1,0.4314906940026316
1234,0,1,0.41028881201775946
1309,1,1,0.4288837968589112
557,0,0,0.620573161907565
908,0,0,0.6209166517274405
1346,1,1,0.36738580421304545
922,0,0,0.6213027952295626
460,1,1,0.44268116107749145
723,0,0,0.5361752265439536
1444,0,1,0.4860405346054969
144,0,0,0.7021938137249388
501,0,0,0.6295067427746721
1144,1,1,0.3594257012217293
739,0,0,0.5378613214707374
1447,0,1,0.48608800643312794
868,0,0,0.6189047760705513
731,0,0,0.5370209264592634
539,0,0,0.6184509777779874
177,1,0,0.7464369661555607
1511,1,1,0.441929297819918
697,0,0,0.5301632318276626
1457,1,1,0.5
1091,1,1,0.35782090526223603
1261,0,1,0.41035511479540676
985,0,0,0.6283405791466282
1560,1,1,0.44169362593796313
7,0,0,0.582308650644115
946,1,0,0.626057926237254
667,0,0,0.5276788018446387
1212,0,1,0.4094382640013
357,1,1,0.4292310078247931
783,0,0,0.7079607648904866
735,0,0,0.5374417888314695
329,1,1,0.42640853139087875
1097,1,1,0.3580989114672283
1200,1,1,0.30775848490353946
1167,0,1,0.30721568595885046
258,1,1,0.3104441731190578
964,1,0,0.6275154285498709
1228,1,1,0.41007715618402707
372,1,1,0.4293028896883083
1151,1,1,0.3066233824318417
1311,0,1,0.42894200700877616
142,0,0,0.7020896802559863
525,0,0,0.616822989618811
1188,1,1,0.30733335529082534
232,1,1,0.30952587696486894
1334,1,1,0.36701899482982564
1486,0,1,0.5
440,0,1,0.4401868060026887
531,0,0,0.6175230250017049
1380,1,1,0.3675652705020879
226,1,1,0.3091463637897795
1078,0,1,0.34403632229292336
228,0,1,0.30927290875975516
1338,1,1,0.3671422116159446
1356,1,1,0.3677472762497338
212,1,1,0.30825944887550105
885,1,0,0.6189258000095159
79,0,0,0.6639624914621061
148,0,0,0.7024013432790591
814,0,0,0.7099457103233434
1181,1,1,0.3077805058594956
1001,0,1,0.3583288350434616
671,0,0,0.5281208866357165
1355,1,1,0.3677176392446108
555,0,0,0.6203452923257053
1137,1,1,0.35912193257832575
133,1,0,0.7947912960161807
1157,0,1,0.30684666999512
933,0,0,0.6221931459858353
1331,1,1,0.3669259605235989
823,1,0,0.6156156417147483
408,1,1,0.43311185315730405
368,1,1,0.42880151548916884
507,0,0,0.5263215008050953
1235,0,1,0.4103238615323645
504,1,0,0.5290091393017166
1392,0,1,0.48595329246663294
347,1,1,0.4279708930984887
1387,1,1,0.36776015335473383
386,1,1,0.4311171681625204
0,0,0,0.6289510431334742
1408,0,1,0.48632361274863317
360,1,1,0.42960814015558374
894,1,0,0.6196889519750565
828,1,0,0.61606932004323
1500,0,1,0.5
475,1,1,0.44373438670471005
1339,1,1,0.3671728678164528
57,0,0,0.6297879309194616
637,0,0,0.5259658387300342
1365,1,1,0.3680113504062179
1562,1,1,0.44171506135229677
652,0,0,0.5259456932613931
172,0,0,0.7437351123852607
450,1,1,0.4414690054359311
125,0,0,0.6425701967846774
38,0,0,0.6352078801097094
530,0,0,0.6174065945283651
857,0,0,0.6187087269540251
713,1,0,0.5350475135492693
90,0,0,0.7024120556722656
1547,1,1,0.4424543805334392
181,0,0,0.7150069889447682
875,0,0,0.6195074317287537
1277,1,1,0.42872530564018857
786,0,0,0.7082222977981503
414,1,1,0.43385049551114857
251,1,1,0.2599169895600874
69,0,0,0.5740344352324748
803,0,0,0.7090145228564162
131,0,0,0.7091427719075981
300,0,0,0.5270968455673551
1067,0,1,0.3442964796489183
326,1,1,0.4260263795006599
1531,1,1,0.4422578971150146
1455,1,1,0.5
499,1,0,0.5260369857750736
338,1,1,0.42755256158098603
28,0,0,0.7741409840154035
1040,1,1,0.34305570716362527
1424,0,1,0.4866139829080198
945,1,0,0.6259790740615032
169,1,0,0.7156248330369531
912,0,0,0.6212476466580087
491,1,1,0.46220142031765293
953,1,0,0.6266071164655461
1032,1,1,0.34269908185219
587,0,0,0.5209518840756964
750,0,0,0.5381952271555
657,0,0,0.5265040046032002
234,0,1,0.3096522994278805
732,0,0,0.5371262665239349
1458,1,1,0.5
1283,1,1,0.4289130536901492
934,0,0,0.6222734930134229
108,1,0,0.7072282128456939
568,0,0,0.6211178799975425
890,1,0,0.6193507633553516
947,1,0,0.6261366793018094
1057,0,1,0.3438627822569072
884,1,0,0.6188405103682583
1322,1,1,0.4292573877725431
850,0,0,0.6180930599193561
734,0,0,0.5373366977647738
717,1,0,0.5354743548155788
454,1,1,0.44195449255237734
264,1,1,0.2606917127898342
75,0,0,0.8100468054831145
444,1,1,0.4406743734628062
395,1,1,0.4322364459622734
176,0,0,0.7515225550968821
1042,1,1,0.3431444036519996
1507,0,1,0.5
1098,1,1,0.35814503965552813
1361,1,1,0.36789457486009985
595,0,0,0.5218830747504657
61,0,0,0.5125369419392976
872,0,0,0.6192497443432327
1170,1,1,0.30738049268175055
1469,0,1,0.5
278,1,1,0.26157978546328975
36,0,0,0.6420327644412113
662,0,0,0.5271244314229843
1414,0,1,0.4864347272769965
1132,1,1,0.3589031832477054
977,1,0,0.6285081031027153
738,0,0,0.5377565631634937
191,0,0,0.7423497547061174
919,1,0,0.6218230738787048
456,1,1,0.4421969241522805
675,0,0,0.528561712338937
760,0,0,0.5392271910922889
1415,0,1,0.48645298659781583
728,0,0,0.5367044091463699
412,1,1,0.4336044787512116
825,1,0,0.6157974092257988
616,0,0,0.5243687757101594
114,0,0,0.707892203361127
417,1,1,0.4342191493240827
1491,0,1,0.5
969,1,0,0.6278992072667179
604,0,0,0.522989111028183
1497,0,1,0.5
89,0,0,0.7595161402393175
848,0,0,0.6179162647056272
1196,1,1,0.3076174073283358
1496,0,1,0.5
753,0,0,0.5385056974436568
498,1,0,0.5282368201634551
11,0,0,0.7215093025397834
396,1,1,0.4323605688098945
284,1,1,0.31236890197733014
1066,0,1,0.3442533195149957
690,0,0,0.5294045672763364
1286,1,1,0.42900602338658583
1466,1,1,0.5
689,0,0,0.5292958675621696
851,0,0,0.6181813091538642
159,1,1,0.42929676214646434
895,1,0,0.6197732515928731
1251,0,1,0.4100202530699125
257,1,1,0.31037225171466304
335,1,1,0.42717162395820996
1470,0,1,0.5
1039,1,1,0.3430112898604702
515,1,0,0.5967448683672334
1015,0,1,0.3764136272697963
768,0,0,0.7065885999249746
1375,1,1,0.3674243049066255
761,0,0,0.705963834092689
1155,0,1,0.3067723970418879
521,0,0,0.6163543644361513
22,0,0,0.7269420602523052
356,1,1,0.42910520418549486
1330,1,1,0.3668948306413568
340,1,1,0.4278062935275465
431,0,1,0.43908678956120883
473,1,1,0.4434944702969518
217,1,1,0.3085764212217624
911,0,0,0.6211650465129575
1260,0,1,0.4103219192188518
1011,0,1,0.4388934017387724
1524,1,1,0.4421075543325771
93,0,0,0.7022893027221285
1008,0,1,0.374967528253045
1070,0,1,0.3436956886823381
1092,1,1,0.35786738686113556
696,0,0,0.5300550908976672
1404,0,1,0.4861872657961014
996,1,0,0.6291580131941642
153,0,0,0.5949596337568847
1099,1,1,0.3581911089143905
1358,1,1,0.3678063729594362
1565,1,1,0.4417467252760644
789,0,0,0.7084829041740157
580,0,0,0.6224630109441728
703,1,0,0.5339746878889159
1316,1,1,0.429086363589287
487,1,1,0.46167534786024256
559,0,0,0.6208006410363799
1141,1,1,0.3592958691068884
1119,1,1,0.35916456452461515
801,0,0,0.7088438794996138
512,0,0,0.5984620942119042
633,0,0,0.5255143966446454
1159,0,1,0.30692078653648563
1400,0,1,0.48611046402808517
1150,0,1,0.3065860312306069
790,0,0,0.7085695670847579
116,1,0,0.7014204265088937
740,1,0,0.5379659964527971
1081,0,1,0.34416328965256504
830,1,0,0.6162501001850802
119,0,0,0.6383715506275311
656,0,0,0.5263924976442471
1488,0,1,0.5
635,0,0,0.5257402713330834
369,1,1,0.42892692951407285
268,1,1,0.26098489422240845
655,0,0,0.5262809129659707
935,0,0,0.6223537410482836
822,1,0,0.6155246098965064
866,0,0,0.618731698408813
46,0,0,0.7421755803671908
1349,1,1,0.3675385757517529
991,0,0,0.6287879355374899
876,0,0,0.6195931296294763
773,0,0,0.7070317714013787
1567,1,1,0.441767508626761
4,0,0,0.7616202225729011
1003,1,1,0.3202587291798752
1360,1,1,0.36786523330708537
263,1,1,0.260632159788003
1237,0,1,0.4103937664360141
1432,0,1,0.4858440115801789
443,0,1,0.4405525586079022
1002,1,1,0.3754055112865676
1077,0,1,0.3439939063776287
837,1,0,0.6168797190743389
1402,0,1,0.4861490135231599
304,1,0,0.5276502678767369
1227,0,1,0.40997874194867023
313,1,1,0.4243004429086134
149,0,0,0.7024530719429319
1148,0,1,0.30651121188723685
574,0,0,0.6217922072554514
50,1,0,0.5846482674224245
1343,1,1,0.3672949007797207
726,0,0,0.5364929838904743
833,1,0,0.6165205296219337
1115,1,1,0.35898470377553365
1166,0,1,0.30717896079179946
470,1,1,0.4431341974873209
971,1,0,0.6280520254168145
653,0,0,0.5260575107095852
399,1,1,0.4327326462508006
511,0,0,0.5962274311166146
320,1,1,0.4251955734116518
19,0,0,0.539916302496851
684,0,0,0.5287511764434867
35,0,0,0.7501890496493061
902,1,0,0.6204171877545994
827,1,0,0.6159787818425317
1407,0,1,0.48624408706661576
407,1,1,0.4329885737418847
920,1,0,0.621904881495327
537,0,0,0.6182195718204405
758,0,0,0.5390214703168756
1062,0,1,0.3440802128196573
1199,1,1,0.3077232748659035
245,0,1,0.25955905060211776
1127,1,1,0.3595214494972274
784,0,0,0.7080480454794861
489,0,0,0.569739249176515
154,1,0,0.5950239094943552
961,0,0,0.6272839726037187
853,0,0,0.6183575108462631
625,0,0,0.52460783567605
685,0,0,0.5288602734700997
569,0,0,0.6212305123561763
1489,0,1,0.5
17,0,0,0.6635810932267744
127,1,1,0.30763116530913465
1540,1,1,0.44237049171476756
927,0,0,0.6217089849777823
980,1,0,0.6287348052149341
1536,1,1,0.4423211082380348
190,0,0,0.7207749553108003
1139,1,1,0.3592090189729699
992,0,0,0.6288621488157574
1529,1,1,0.4422321512729386
1308,1,1,0.4288545915939723
606,0,0,0.5232198076629883
180,0,0,0.7022967486931475
301,0,0,0.5272352947534924
496,1,1,0.4644229252467434
1350,1,1,0.3675685674882795
1313,0,1,0.4289999499978544
1293,0,1,0.4292818890636055
517,1,0,0.6939769624516298
1069,1,1,0.34365289979902364
476,1,1,0.4438542650927883
157,1,0,0.5952163837847392
1243,0,1,0.4106019280067689
1195,1,1,0.3075820390548618
16,0,0,0.7262481457517752
1072,0,1,0.34378112679002126
1543,1,1,0.44240683848261864
546,0,0,0.6193150527935343
658,0,0,0.5266154337778104
1386,1,1,0.367732489224594
1019,0,1,0.4939115528044419
1314,0,1,0.4290288213119613
959,1,0,0.6270739861869993
1472,0,1,0.5
283,1,1,0.31229738741301477
797,0,0,0.7091733254700143
225,0,1,0.30908307625671516
26,0,0,0.6718004151611874
437,0,1,0.4398205925698426
1523,1,1,0.4420942388718094
229,1,1,0.30933616610022313
37,1,0,0.6115390433283944
749,0,0,0.5380915696121039
1045,1,1,0.3432771027366154
469,1,1,0.44301400060011903
1538,1,1,0.44234593161741487
1539,1,1,0.4423582445684764
687,0,0,0.5290782294413221
1441,0,1,0.4859923995089625
639,0,0,0.5261910983048756
1353,1,1,0.36765818790521426
1218,0,1,0.4096562010699976
1158,0,1,0.3068837478255523
1307,1,1,0.42970104274768317
1426,0,1,0.48664894444475165
800,0,0,0.7094305353409515
160,1,1,0.4293568514741379
956,1,0,0.6268409972221379
1186,1,1,0.3079607514229979
821,0,0,0.6154334793823917
1329,1,1,0.3668636415282777
877,0,0,0.6196787285760018
913,0,0,0.6213301477419377
152,0,0,0.5948952992527948
1436,0,1,0.4859106995905061
509,0,0,0.6936669288071067
1135,1,1,0.3590346099676541
1250,1,1,0.4099864117389109
1315,0,1,0.4290576258416712
103,1,0,0.7037049150879713
586,0,0,0.5208351528290807
1388,0,1,0.48587292161578505
1143,1,1,0.3593824829356401
53,0,0,0.7000466655431972
151,0,0,0.5948309060145388
403,1,1,0.4332280681388603
1520,1,1,0.4420538961731353
207,0,1,0.3079422430548963
1480,1,1,0.5
1122,1,1,0.35929883971197313
1377,1,1,0.3674808675708158
8,0,0,0.6166791049001272
1014,0,1,0.4390868082944921
1406,0,1,0.48622522091660714
1060,0,1,0.3439933800864522
452,1,1,0.4417118528229468
253,1,1,0.260036251371834
896,1,0,0.6198574521892488
1566,1,1,0.4417571495330387
880,0,0,0.6199349316481794
1476,1,1,0.5
623,0,0,0.5243804325695136
345,1,1,0.42771831842551095
1345,1,1,0.36735556222863885
262,1,1,0.3107317071391158
1321,0,1,0.42922905067108863
150,0,0,0.7025047390814938
472,1,1,0.4433744323948356
640,1,0,0.5263036124929183
1552,1,1,0.4416052722878568
1473,0,1,0.5
550,0,0,0.6197739114630451
928,0,0,0.6217899259585307
488,0,1,0.4641656837453237
1419,0,1,0.48652528203613565
1171,1,1,0.3074170544564916
146,0,0,0.7022977014464525
402,1,1,0.4331042858414027
954,1,0,0.6266851758101133
1468,0,1,0.5
659,1,0,0.5267267851036134
463,1,1,0.4430437889219731
186,0,0,0.7165737921891634
1147,1,1,0.35955500150414604
1224,0,1,0.40987181038734577
608,0,0,0.5234502040314167
143,0,0,0.7021417776999253
751,0,0,0.5382988010102273
981,0,0,0.6280403633813916
197,1,1,0.30730715519774815
883,1,0,0.6187551217459508
279,1,1,0.2616392328289176
293,0,1,0.3124800012296358
1427,0,1,0.4866663140794272
400,1,1,0.4328565748403342
122,1,0,0.6851259886334644
1207,1,1,0.3080038457489878
202,1,1,0.3076248098105092
835,1,0,0.6167003219651165
246,1,1,0.2596187228141694
1485,1,1,0.5
1471,0,1,0.5
1153,0,1,0.30669796780951497
384,0,1,0.43080247477584005
1381,1,1,0.36759328722279105
854,0,0,0.6184454632920006
219,0,1,0.3087031434327049
641,1,0,0.5247106033728716
1,0,0,0.5817547628237162
112,0,0,0.6844518362146343
698,0,0,0.5302712926911666
1494,0,1,0.5
951,1,0,0.6264507004862161
1376,0,1,0.36745261564778775
1291,0,1,0.4292209381981224
1416,0,1,0.48647117172459314
441,1,1,0.440308774819174
1136,1,1,0.3590783007971583
1256,0,1,0.4101884911321107
663,0,0,0.5272354620068995
1435,0,1,0.48589413829345013
1257,0,1,0.41022194501970494
1391,0,1,0.4859333113570799
317,1,1,0.42481221068995145
648,0,0,0.5254976495218462
709,0,0,0.5346193624430028
1382,1,1,0.36762124516062067
1282,1,1,0.42888192981695455
972,1,0,0.6281282859343283
627,0,0,0.5248349341763565
632,0,0,0.5254013442330832
1306,1,1,0.42967153856886653
1248,0,1,0.40991853536609935
1527,1,1,0.44214710460561635
1254,0,1,0.4101213896296792
