y_train;y_train_pred;y_train_pred_proba
1;1;0.26043225051570296
1;1;0.07983709521458893
1;1;0.09979920713035628
0;1;0.06918772616615021
1;1;0.48635497532206184
1;1;0.2012842618778743
1;1;0.3416736435414054
1;1;0.10416443901275385
1;0;0.8823144644096296
1;1;0.11105336961218415
0;0;0.6584598568906029
0;0;0.6801988679046782
1;1;0.07946534172562403
1;1;0.30324428473076837
0;0;0.726278209853454
0;0;0.9553059149920786
1;1;0.43080155271285003
0;0;0.908990384090919
1;1;0.16438110005852546
0;0;0.6873438737803039
0;0;0.956164050796714
0;0;0.6777096626881838
0;0;0.8408481462023064
1;1;0.4215163278843005
0;0;0.9580634798033232
0;1;0.28342925943287056
1;1;0.11155498964211896
1;1;0.13829326877951564
1;0;0.8653702347036138
0;0;0.9162435466068829
0;0;0.5936098442632718
0;0;0.7169600522659748
1;1;0.10333921672909552
1;1;0.28601118024345573
0;0;0.7832148362836139
1;1;0.19872798911093192
0;0;0.53795921050435
1;1;0.05050298171960166
1;1;0.15980856171221092
0;0;0.5997977779706136
0;1;0.4937122696957784
0;0;0.9166318967113366
0;0;0.7927321384936912
1;1;0.2806954910593472
0;0;0.6372217176809627
1;1;0.32698792366247453
1;1;0.05047259332055376
1;1;0.05691810173185552
1;1;0.13844328636853087
1;1;0.45956978814293026
0;0;0.8204355078963348
0;1;0.2649202028003269
0;0;0.9781967045944113
1;1;0.4838216349957831
1;0;0.5972746420795063
0;0;0.9747181194198377
0;0;0.9173075722419569
1;1;0.15923884042100456
0;1;0.2847184581088117
0;0;0.6851424108410191
0;0;0.9559510022262773
0;0;0.9474168091163262
1;1;0.07845116195224122
1;1;0.05671428482523844
0;0;0.6782632370892436
0;0;0.7434434650968079
0;0;0.9557369661444302
0;0;0.5960542276737554
1;1;0.45642266564736356
0;0;0.7412610981664487
1;0;0.7892801221826026
0;0;0.8177558088941779
1;0;0.6218782435904193
0;1;0.027058925192075645
0;1;0.33090586372286523
1;1;0.16525367863708418
0;0;0.5370137050822867
1;1;0.3453904666006071
0;0;0.8723333867923436
0;1;0.02656274692344629
1;1;0.10163643220121144
1;0;0.7897015264399292
1;1;0.3428152371825477
0;0;0.8564836017892403
1;1;0.250549075239456
0;0;0.7516981680441013
1;1;0.46082955484622246
1;1;0.44570530619673243
1;1;0.14042202128916415
1;1;0.19691732711173726
0;1;0.1653022085930319
1;1;0.20291978622582119
1;1;0.44033642284801766
1;0;0.7603250489676945
1;0;0.7596312657090548
1;1;0.4703763296399954
0;0;0.6752124174843683
1;0;0.6192694997542002
1;1;0.3011056109065846
1;1;0.11168070384530615
0;0;0.9579104008033106
0;1;0.45768111143233525
0;0;0.599188977549177
0;1;0.4956137515005834
1;0;0.591963582324293
0;0;0.9054963251135966
1;0;0.9284305015579231
0;0;0.7117918205837188
0;0;0.8158587731800949
0;0;0.7591679815051262
0;0;0.5240500782231785
1;1;0.44733578348086744
0;0;0.7918976629667889
0;0;0.8261342924983219
0;1;0.28497672102774796
1;0;0.6360485930508717
0;0;0.8222956636012809
1;1;0.28249080494814705
0;0;0.9781696486577938
0;0;0.6807501808596196
0;0;0.6378076688871122
1;1;0.14011509915722486
0;0;0.5957489376627447
1;1;0.1402679170908756
0;0;0.5689985808734925
1;1;0.13874713729532628
1;1;0.1035744025028098
1;1;0.15878983902942623
0;0;0.679368884164099
1;0;0.6147757116835554
0;0;0.7589361109007927
0;0;0.5243662853633467
1;1;0.44670899979862333
0;0;0.6810256479869261
1;1;0.15963840781912075
1;1;0.07891067651499928
1;1;0.11005604905325483
0;1;0.2612334711751957
1;1;0.436792641138137
0;0;0.9104712876478648
1;1;0.43332215419854914
1;1;0.07980434801798786
1;1;0.3995672605807512
1;1;0.30270881215078005
1;1;0.2643581963676963
0;0;0.7728710408761192
0;0;0.9558975859453631
0;0;0.9580125127150723
0;1;0.42602001281426183
0;1;0.264426720638101
0;0;0.9554140514426789
0;0;0.6181294587703887
1;0;0.6198671494820683
1;1;0.10014142264015136
1;1;0.322816760783429
1;0;0.5907381015970521
1;1;0.34567716724711617
1;1;0.16014931006043498
0;0;0.7959902284369139
1;1;0.10175224906504188
1;1;0.29917737010582357
0;0;0.7182446444896402
1;1;0.4463956713477405
0;1;0.42729562960427137
0;0;0.7836450451773225
0;0;0.9781154382752162
1;0;0.7765696175829118
0;0;0.6843213551877709
1;1;0.33320918224247387
0;1;0.14895893242376024
0;0;0.957756787663661
1;1;0.2529371985123261
1;1;0.07863467328026064
0;0;0.9737818048178349
0;1;0.3233713074750194
0;0;0.9560043567877992
0;0;0.9576540813283885
1;1;0.05761142388432583
0;0;0.9562702060462441
1;1;0.3178483848510735
0;0;0.9376463252424605
0;0;0.820808751931118
1;1;0.3029764815638797
0;0;0.5246824729678108
0;0;0.5382743186494199
1;1;0.19772052432082543
0;0;0.7554649266656973
0;0;0.8425374265922533
1;1;0.49878314265722146
1;1;0.3005081601506492
0;0;0.6969176296324626
1;1;0.3034477409003892
1;1;0.10345675049757896
1;1;0.07928005865466148
0;1;0.06821435643527418
1;1;0.07881857715976748
0;0;0.5975795581828043
0;0;0.6953084918775361
1;1;0.05651115402900364
1;1;0.3413885309350678
0;0;0.9556833023438935
0;1;0.4946629912993029
0;0;0.8221103299074128
0;1;0.45925492654573896
0;0;0.5259470229844885
1;0;0.5922697745416732
1;0;0.7410178684341571
1;1;0.32198587494361464
1;1;0.1015207322638817
1;1;0.4029176826896187
1;1;0.13904927262393174
0;0;0.7853596965500391
0;0;0.7188416077963846
1;1;0.20230530638464062
0;0;0.9779520163147672
0;0;0.9682966157383566
1;1;0.3264301669861951
0;0;0.6790926604541621
1;1;0.4353436432792074
0;0;0.9075113499572056
0;0;0.8399980107842921
